Zeit;Kanal A
(ms);(mV)

-25,00687405;12,10199000
-25,00187405;11,54343000
-24,99687405;11,17126000
-24,99187405;11,17126000
-24,98687405;10,79847000
-24,98187405;10,61270000
-24,97687405;9,68134800
-24,97187405;9,86774200
-24,96687405;10,61270000
-24,96187405;9,30917700
-24,95687405;9,30917700
-24,95187405;9,86774200
-24,94687405;10,05413000
-24,94187405;9,86774200
-24,93687405;11,17126000
-24,93187405;11,17126000
-24,92687405;11,54343000
-24,92187405;13,59190000
-24,91687405;12,10199000
-24,91187405;10,98487000
-24,90687405;12,47478000
-24,90187405;12,10199000
-24,89687405;11,35704000
-24,89187405;11,91621000
-24,88687405;11,91621000
-24,88187405;12,28839000
-24,87687405;12,10199000
-24,87187406;12,84695000
-24,86687406;11,35704000
-24,86187406;11,17126000
-24,85687406;10,61270000
-24,85187406;11,54343000
-24,84687406;11,54343000
-24,84187406;11,35704000
-24,83687406;12,10199000
-24,83187406;12,10199000
-24,82687406;11,91621000
-24,82187406;11,72982000
-24,81687406;11,17126000
-24,81187406;11,35704000
-24,80687406;11,54343000
-24,80187406;12,10199000
-24,79687406;12,10199000
-24,79187406;12,66056000
-24,78687406;11,72982000
-24,78187406;11,91621000
-24,77687406;11,72982000
-24,77187406;11,35704000
-24,76687406;11,35704000
-24,76187406;10,98487000
-24,75687406;10,61270000
-24,75187406;9,86774200
-24,74687406;9,86774200
-24,74187406;9,30917700
-24,73687406;8,56422200
-24,73187406;8,00565900
-24,72687406;7,07492600
-24,72187406;6,70275500
-24,71687406;3,90994000
-24,71187406;3,53715500
-24,70687406;1,11712600
-24,70187406;-0,37217020
-24,69687406;-1,30290300
-24,69187406;-2,42002900
-24,68687406;-2,60642200
-24,68187406;-4,09571800
-24,67687406;-4,28211100
-24,67187406;-4,09571800
-24,66687406;-4,28211100
-24,66187406;-2,60642200
-24,65687406;-2,42002900
-24,65187406;-1,48929600
-24,64687406;-0,37217020
-24,64187406;1,48929600
-24,63687406;1,30290300
-24,63187406;2,23425200
-24,62687406;2,23425200
